CrimeDate,CrimeTime,Description,Weapon,District,Neighborhood,Total Incidents
9/16/17,1:45:00,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,1
9/16/17,1:33:00,AUTO THEFT,,SOUTHWESTERN,Winchester,1
9/16/17,1:30:00,COMMON ASSAULT,HANDS,CENTRAL,University Of Maryland,1
9/16/17,1:00:00,LARCENY,,WESTERN,Parkview/Woodbrook,1
9/16/17,0:43:00,LARCENY,,CENTRAL,Downtown,1
9/16/17,0:42:00,LARCENY,,WESTERN,Sandtown-Winchester,1
9/16/17,0:21:00,BURGLARY,,SOUTHWESTERN,Morrell Park,1
9/16/17,0:09:00,AGG. ASSAULT,KNIFE,NORTHWESTERN,Concerned Citizens Of For,1
9/16/17,0:00:00,COMMON ASSAULT,HANDS,EASTERN,Middle East,1
9/15/17,23:10:00,COMMON ASSAULT,HANDS,EASTERN,Oldtown,1
9/15/17,22:42:00,BURGLARY,,NORTHEASTERN,Idlewood,1
9/15/17,22:35:00,LARCENY,,SOUTHERN,South Baltimore,1
9/15/17,22:20:00,ROBBERY - STREET,,SOUTHERN,Brooklyn,1
9/15/17,22:50:00,ROBBERY - STREET,,NORTHERN,Hampden,1
9/15/17,22:42:00,COMMON ASSAULT,HANDS,WESTERN,Sandtown-Winchester,1
9/15/17,22:35:00,LARCENY FROM AUTO,,SOUTHWESTERN,Edmondson Village,1
9/15/17,22:22:00,LARCENY,,NORTHERN,Rosebank,1
9/15/17,22:20:00,LARCENY FROM AUTO,,SOUTHERN,Locust Point,1
9/15/17,22:15:00,LARCENY,,EASTERN,Oldtown,1
9/15/17,22:10:00,LARCENY,,EASTERN,Gay Street,1
9/15/17,22:00:00,LARCENY,,CENTRAL,Inner Harbor,1
9/15/17,22:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,21:48:00,AGG. ASSAULT,OTHER,EASTERN,Broadway East,1
9/15/17,21:48:00,LARCENY,,CENTRAL,University Of Maryland,1
9/15/17,21:48:00,LARCENY,,NORTHERN,Homeland,1
9/15/17,21:40:00,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho,1
9/15/17,21:30:00,BURGLARY,,NORTHERN,Glen Oaks,1
9/15/17,21:30:00,BURGLARY,,SOUTHWESTERN,Edmondson Village,1
9/15/17,21:02:00,BURGLARY,,WESTERN,Harlem Park,1
9/15/17,21:00:00,ROBBERY - RESIDENCE,FIREARM,WESTERN,Harlem Park,1
9/15/17,21:00:00,BURGLARY,,SOUTHEASTERN,Patterson Park Neighborho,1
9/15/17,20:30:00,COMMON ASSAULT,HANDS,CENTRAL,Downtown,1
9/15/17,20:30:00,AGG. ASSAULT,OTHER,SOUTHEASTERN,Ellwood Park/Monument,1
9/15/17,20:30:00,LARCENY,,SOUTHWESTERN,Gwynns Falls,1
9/15/17,20:00:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Arcadia,1
9/15/17,20:00:00,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho,1
9/15/17,19:40:00,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rognel Heights,1
9/15/17,19:30:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,McElderry Park,1
9/15/17,19:30:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,19:18:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Frankford,1
9/15/17,19:00:00,BURGLARY,,SOUTHERN,Washington Village/Pigtow,1
9/15/17,19:00:00,LARCENY FROM AUTO,,SOUTHERN,Locust Point Industrial A,1
9/15/17,19:00:00,LARCENY FROM AUTO,,SOUTHERN,Locust Point Industrial A,1
9/15/17,19:00:00,AGG. ASSAULT,OTHER,CENTRAL,Downtown,1
9/15/17,19:00:00,LARCENY,,NORTHERN,Better Waverly,1
9/15/17,19:00:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Coldstream Homestead Mont,1
9/15/17,19:00:00,AGG. ASSAULT,OTHER,SOUTHEASTERN,Ellwood Park/Monument,1
9/15/17,19:00:00,BURGLARY,,SOUTHERN,Locust Point,1
9/15/17,19:00:00,BURGLARY,,NORTHEASTERN,Frankford,1
9/15/17,19:00:00,BURGLARY,,SOUTHERN,Federal Hill,1
9/15/17,18:54:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,Baltimore Highlands,1
9/15/17,18:25:00,BURGLARY,,SOUTHWESTERN,Edgewood,1
9/15/17,18:16:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,Ellwood Park/Monument,1
9/15/17,18:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,18:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,18:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,18:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,18:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,18:00:00,AGG. ASSAULT,OTHER,SOUTHWESTERN,Morrell Park,1
9/15/17,17:10:00,ROBBERY - COMMERCIAL,FIREARM,SOUTHERN,Carroll - Camden Industri,1
9/15/17,17:10:00,AGG. ASSAULT,KNIFE,EASTERN,South Clifton Park,1
9/15/17,17:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Glenham-Belhar,1
9/15/17,17:00:00,LARCENY,,SOUTHEASTERN,Fells Point,1
9/15/17,16:45:00,LARCENY,,SOUTHERN,Westport,1
9/15/17,16:30:00,BURGLARY,,SOUTHERN,Lakeland,1
